ms,Sensor 1 (kg),Sensor 2 (kg),Sensor  3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1692222,0.130019,0.0750138,1.16997,1.46537,2.11586,12.8344,2.84037
1692233,0.130019,0.0750138,1.16997,1.46537,2.11586,12.8344,2.84037
1692243,0.0758445,0.0656371,1.71064,2.08466,2.31037,13.9218,3.93678
1692253,0.0433397,0.0281302,2.37539,2.86095,2.21538,14.5961,5.30782
1692287,0.0433397,0.0281302,2.37539,2.86095,2.21538,14.5961,5.30782
1692295,0.151689,0.215665,3.74035,4.51821,2.43984,13.7224,8.62592
1692305,0.335883,0.290678,4.67987,5.68702,2.18753,13.2902,10.9935
1692316,0.335883,0.290678,4.67987,5.68702,2.18753,13.2902,10.9935
1692338,0.444232,0.459459,6.07143,7.32683,2.22108,13.1044,14.302
1692345,0.639261,0.637617,7.6757,9.17599,2.06668,12.887,18.1286
1692356,0.639261,0.637617,7.6757,9.17599,2.06668,12.887,18.1286
1692367,0.877629,0.909542,8.81022,10.4146,1.94682,12.4483,21.012
1692371,0.877629,0.909542,8.81022,10.4146,1.94682,12.4483,21.012
1692379,0.964309,1.00331,9.2268,10.7635,1.79397,12.3117,21.9579
1692386,0.985978,1.02206,9.29771,10.8943,1.8386,12.2864,22.2001
1692398,0.985978,1.02206,9.29771,10.8943,1.8386,12.2864,22.2001
1692406,1.05099,1.04082,9.44838,10.999,1.7086,12.2158,22.5392
1692415,1.09433,1.09708,9.94473,11.5747,1.72144,12.2273,23.7108
1692421,1.09433,1.09708,9.94473,11.5747,1.72144,12.2273,23.7108
1692436,1.24602,1.29399,10.3525,12.1154,1.81039,11.953,25.0079
1692446,1.24602,1.29399,10.3525,12.1154,1.81039,11.953,25.0079
1692456,1.32186,1.34087,10.6627,12.3946,1.70189,11.8942,25.72
1692467,1.3652,1.40651,10.7868,12.5603,1.7371,11.8164,26.1188
1692476,1.3652,1.40651,10.7868,12.5603,1.7371,11.8164,26.1188
1692481,1.40854,1.50028,10.5918,12.3422,1.78212,11.6233,25.8428
1692497,1.31103,1.46277,10.2815,12.0195,1.88406,11.6814,25.0748
1692506,1.31103,1.46277,10.2815,12.0195,1.88406,11.6814,25.0748
1692513,1.21351,1.31274,9.71429,11.3915,1.87926,11.793,23.632
1692523,1.21351,1.31274,9.71429,11.3915,1.87926,11.793,23.632
1692533,1.116,1.21897,8.73931,10.3448,1.99409,11.7296,21.4191
1692544,0.877629,0.993933,7.47185,8.86198,2.06867,11.9159,18.2054
1692567,0.671765,0.665747,6.03597,7.24833,2.06257,12.2558,14.6218
1692576,0.346718,0.384446,4.4317,5.3294,2.22885,12.9094,10.4923
1692599,0.238368,0.168781,2.99583,3.58492,1.85857,13.2521,6.98789
1692609,0.238368,0.168781,2.99583,3.58492,1.85857,13.2521,6.98789
1692619,0.0650096,0.0843905,1.7195,2.17188,2.91877,13.8908,4.04078
1692645,0.0433397,0.0656371,0.797706,1.03797,3.37541,13.3188,1.94465
1692661,0.0216699,0,0.132951,0.139559,0,0,0.29418
1692669,0.0216699,0,0.132951,0.139559,0,0,0.29418
1692675,0.0433397,0.0468836,0.0177268,0.0436121,0,0,0.151562
1692689,0.0433397,0.0468836,0.0177268,0.0436121,0,0,0.151562
1692699,0.0541746,0,0,0.00872242,0,0,0.0628971
1692715,0.0108349,0.0187534,0,0.0261673,0,0,0.0557556
1692721,0.0108349,0.0187534,0,0.0261673,0,0,0.0557556
1692730,0.119184,0.0468836,0,0,0,0,0.166068
1692733,0.119184,0.0468836,0,0,0,0,0.166068
1692749,0.0216699,0,0.0620438,0.061057,0,0,0.144771
1692760,0,0,0.49635,0.593125,2.22066,15,1.08948
1692765,0,0,0.49635,0.593125,2.22066,15,1.08948
1692776,0,0,0.788843,0.959466,2.43984,15,1.74831
1692789,0.0108349,0,1.06361,1.27347,2.11923,14.8616,2.34792
1692809,0,0.0375069,1.24088,1.44792,2.24253,14.5873,2.72631
1692819,0,0.0375069,1.24088,1.44792,2.24253,14.5873,2.72631
1692829,0.0541746,0,1.55996,1.79682,1.33896,14.5235,3.41095
